Architecture,Activation,Training Time (s),Mean Abs Error,Max Abs Error,RMSE,Final Loss
FNN,tanh,145.49071192741394,0.2402656012814786,1.4255633768401812,0.29403530124563015,[3.3174635e-10 5.5605399e-11]
ResNet,tanh,204.21137714385986,0.24026588472226754,1.4255636139563639,0.29403577105312,[2.2571556e-10 2.1310483e-11]
MsFFN,tanh,1409.9201889038086,0.24025910252705832,1.4255726039549677,0.2940333652638218,[3.5195971e-08 1.0007498e-08]
FNN,relu,92.64134907722473,0.2407985545265899,1.430185520104168,0.2947033416476931,[0.0000000e+00 4.3755485e-11]
FNN,sin,207.8073558807373,0.24026423048791107,1.4255614666284577,0.29403463875702435,[9.4689834e-10 1.1285376e-10]
FNN,swish,337.9607181549072,0.24026525156242892,1.425563111966223,0.2940351678783689,[6.9767109e-12 5.7411263e-12]
