Activation,Training Time (s),Mean Abs Error,Max Abs Error,RMSE,Final Loss
tanh,143.40417289733887,0.24027813179898616,1.425577417384739,0.2940465292842684,[3.0107386e-10 6.8945072e-10]
relu,53.13666582107544,0.2400418004903538,1.429029007689133,0.2938419508185123,[0.0000000e+00 6.3652417e-10]
sin,170.51204299926758,0.23997565669156934,1.4252905170573276,0.29375571802235345,[9.219917e-09 4.417716e-07]
swish,263.75867319107056,0.240265358858016,1.4255644416110973,0.2940353214810022,[5.8877638e-12 1.6618481e-11]
